id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
250,-100,-55.0,25.0,2.0,7.0,-73.8367,98.64,1.09,1.1488
251,-100,-55.0,25.0,2.0,8.5,-71.5367,92.73,5.81,1.3581
243,-100,-60.0,55.0,4.0,7.0,-31.0867,20.03,63.99,0.1663
244,-100,-60.0,55.0,4.0,8.5,-33.77,20.03,63.98,0.1493
245,-100,-60.0,55.0,4.0,10.0,-29.0667,20.02,63.99,0.1781
252,-100,-55.0,25.0,2.0,10.0,-69.6033,85.53,11.58,1.6337
253,-100,-55.0,25.0,2.5,1.0,-61.82,97.08,2.34,1.0983
254,-100,-55.0,25.0,2.5,2.5,-62.1133,96.94,2.45,1.1326
255,-100,-55.0,25.0,2.5,4.0,-60.54,76.59,18.73,0.7374
256,-100,-55.0,25.0,2.5,5.5,-65.1067,82.64,13.89,0.9565
258,-100,-55.0,25.0,2.5,8.5,-66.9567,83.55,13.16,1.5199
260,-100,-55.0,25.0,3.0,1.0,-56.835,80.53,15.58,0.4049
257,-100,-55.0,25.0,2.5,7.0,-62.5167,67.64,25.89,0.8577
259,-100,-55.0,25.0,2.5,10.0,-65.7233,70.02,23.99,0.8751
262,-100,-55.0,25.0,3.0,4.0,-60.2167,81.89,14.49,1.2269
261,-100,-55.0,25.0,3.0,2.5,-54.0867,59.82,32.15,0.4224
263,-100,-55.0,25.0,3.0,5.5,-59.28,60.47,31.63,0.5404
264,-100,-55.0,25.0,3.0,7.0,-59.1333,54.83,36.14,0.5386
265,-100,-55.0,25.0,3.0,8.5,-61.0833,72.52,21.99,1.4483
266,-100,-55.0,25.0,3.0,10.0,-56.9567,45.12,43.9,0.7398
267,-100,-55.0,25.0,3.5,1.0,-51.73,50.51,39.59,0.2759
268,-100,-55.0,25.0,3.5,2.5,-51.6533,31.64,54.69,0.3668
274,-100,-55.0,25.0,4.0,1.0,-42.05,20.03,63.98,0.1563
269,-100,-55.0,25.0,3.5,4.0,-51.1967,36.91,50.48,0.3483
271,-100,-55.0,25.0,3.5,7.0,-48.2733,29.89,56.09,0.3374
272,-100,-55.0,25.0,3.5,8.5,-55.2333,43.49,45.22,0.4936
275,-100,-55.0,25.0,4.0,2.5,-41.9367,21.07,63.15,0.1872
270,-100,-55.0,25.0,3.5,5.5,-51.9333,29.55,56.36,0.4255
273,-100,-55.0,25.0,3.5,10.0,-51.75,31.4,54.89,0.4601
276,-100,-55.0,25.0,4.0,4.0,-43.4833,20.07,63.95,0.183
277,-100,-55.0,25.0,4.0,5.5,-46.8667,20.92,63.27,0.297
281,-100,-55.0,30.0,2.0,1.0,-62.965,99.89,0.09,3.8854
278,-100,-55.0,25.0,4.0,7.0,-43.8467,21.8,62.56,0.2343
282,-100,-55.0,30.0,2.0,2.5,-60.49,98.48,1.22,1.0764
283,-100,-55.0,30.0,2.0,4.0,-66.98,97.74,1.81,1.1421
279,-100,-55.0,25.0,4.0,8.5,-45.08,28.17,57.47,0.3324
285,-100,-55.0,30.0,2.0,7.0,-70.8033,96.4,2.88,1.9132
284,-100,-55.0,30.0,2.0,5.5,-67.7,93.25,5.4,1.1689
286,-100,-55.0,30.0,2.0,8.5,-70.0667,87.96,9.63,1.6162
280,-100,-55.0,25.0,4.0,10.0,-44.05,21.13,63.1,0.2744
287,-100,-55.0,30.0,2.0,10.0,-68.6267,81.17,15.06,1.4168
288,-100,-55.0,30.0,2.5,1.0,-62.6967,96.8,2.56,1.0974
289,-100,-55.0,30.0,2.5,2.5,-60.9267,73.81,20.95,0.2473
291,-100,-55.0,30.0,2.5,5.5,-62.0533,72.12,22.3,0.5406
293,-100,-55.0,30.0,2.5,8.5,-62.55,74.87,20.11,1.5219
290,-100,-55.0,30.0,2.5,4.0,-62.18,74.79,20.17,0.4615
292,-100,-55.0,30.0,2.5,7.0,-57.89,48.63,41.1,0.5571
295,-100,-55.0,30.0,3.0,1.0,-55.47,70.26,23.8,0.3128
294,-100,-55.0,30.0,2.5,10.0,-61.9433,56.7,34.64,0.706
296,-100,-55.0,30.0,3.0,2.5,-56.71,67.87,25.71,0.4473
299,-100,-55.0,30.0,3.0,7.0,-58.1667,58.89,32.89,0.6019
297,-100,-55.0,30.0,3.0,4.0,-55.88,50.14,39.89,0.5467
298,-100,-55.0,30.0,3.0,5.5,-56.6233,48.98,40.82,0.4086
300,-100,-55.0,30.0,3.0,8.5,-55.99,40.5,47.6,0.6162
301,-100,-55.0,30.0,3.0,10.0,-54.26,33.64,53.09,0.5002
303,-100,-55.0,30.0,3.5,2.5,-49.61,46.43,42.85,0.3003
302,-100,-55.0,30.0,3.5,1.0,-48.3967,35.83,51.34,0.2856
304,-100,-55.0,30.0,3.5,4.0,-49.72,31.36,54.92,0.3675
305,-100,-55.0,30.0,3.5,5.5,-48.98,33.75,53.01,0.3256
306,-100,-55.0,30.0,3.5,7.0,-49.19,33.16,53.48,0.4314
307,-100,-55.0,30.0,3.5,8.5,-46.2733,20.85,63.32,0.2466
308,-100,-55.0,30.0,3.5,10.0,-49.8033,22.22,62.23,0.3347
310,-100,-55.0,30.0,4.0,2.5,-40.71,20.01,63.99,0.1523
311,-100,-55.0,30.0,4.0,4.0,-41.19,20.06,63.95,0.1711
309,-100,-55.0,30.0,4.0,1.0,-39.73,24.15,60.69,0.2253
312,-100,-55.0,30.0,4.0,5.5,-43.67,20.53,63.57,0.2128
313,-100,-55.0,30.0,4.0,7.0,-38.5033,20.04,63.97,0.1585
316,-100,-55.0,35.0,2.0,1.0,-60.82,99.79,0.17,1.135
317,-100,-55.0,35.0,2.0,2.5,-63.67,99.96,0.03,2.1476
314,-100,-55.0,30.0,4.0,8.5,-40.7267,20.07,63.95,0.2048
315,-100,-55.0,30.0,4.0,10.0,-41.81,20.09,63.93,0.1967
321,-100,-55.0,35.0,2.0,8.5,-71.53,94.26,4.59,2.454
318,-100,-55.0,35.0,2.0,4.0,-67.3767,96.81,2.55,1.0149
320,-100,-55.0,35.0,2.0,7.0,-65.7367,88.13,9.5,1.2811
319,-100,-55.0,35.0,2.0,5.5,-64.3033,83.88,12.9,0.8774
323,-100,-55.0,35.0,2.5,1.0,-59.7533,96.71,2.64,1.9436
322,-100,-55.0,35.0,2.0,10.0,-66.7833,76.16,19.08,1.208
324,-100,-55.0,35.0,2.5,2.5,-57.8233,74.55,20.36,0.6935
326,-100,-55.0,35.0,2.5,5.5,-63.3333,83.85,12.92,1.4062
325,-100,-55.0,35.0,2.5,4.0,-58.5,65.82,27.35,0.7397
327,-100,-55.0,35.0,2.5,7.0,-57.75,54.29,36.57,0.6783
328,-100,-55.0,35.0,2.5,8.5,-61.6833,64.88,28.1,1.0885
